iter	Passed	Remaining
248	561	1693
249	562	1687
250	563	1681
251	564	1675
252	565	1670
253	567	1666
254	568	1660
255	569	1654
256	570	1649
257	571	1644
258	573	1641
259	575	1637
260	576	1631
261	577	1626
262	578	1620
263	579	1614
264	580	1609
265	581	1604
266	582	1598
267	583	1592
268	583	1586
269	584	1581
270	586	1577
271	587	1572
272	589	1568
273	590	1563
274	590	1558
275	591	1552
276	592	1547
277	593	1541
278	594	1537
279	595	1531
280	596	1526
281	597	1521
282	598	1515
283	599	1510
284	600	1506
285	601	1502
286	603	1499
287	604	1494
288	605	1489
289	606	1484
290	607	1479
291	608	1475
292	609	1470
293	610	1465
294	611	1460
295	611	1455
296	612	1450
297	613	1446
298	615	1442
299	616	1438
300	618	1436
301	619	1431
302	620	1427
303	621	1422
304	622	1417
305	623	1413
306	623	1408
307	624	1403
308	625	1399
309	626	1394
310	627	1389
311	628	1385
312	629	1381
313	631	1378
314	632	1375
315	633	1371
316	634	1367
317	635	1363
318	636	1359
319	637	1354
320	638	1350
321	639	1346
322	640	1341
323	641	1337
324	642	1333
325	642	1329
326	643	1325
327	645	1321
328	646	1318
329	647	1314
330	649	1312
331	650	1308
332	651	1304
333	652	1300
334	653	1296
335	654	1292
336	655	1288
337	655	1284
338	657	1281
339	658	1277
340	659	1274
341	661	1271
342	662	1268
343	663	1264
344	664	1260
345	665	1257
346	667	1256
347	668	1252
348	669	1249
349	670	1245
350	671	1242
351	672	1238
352	673	1235
353	675	1233
354	676	1229
355	678	1228
356	680	1225
357	681	1222
358	682	1218
359	684	1216
360	685	1213
361	686	1210
362	687	1207
363	692	1209
364	694	1208
365	698	1209
366	699	1207
367	700	1203
368	702	1201
369	704	1198
370	706	1197
371	707	1194
372	708	1191
373	709	1187
374	710	1184
375	711	1181
376	712	1177
377	713	1174
378	715	1171
379	717	1170
380	719	1168
381	721	1166
382	724	1166
383	725	1163
384	726	1160
385	727	1157
386	728	1154
387	729	1150
388	730	1147
389	731	1144
390	733	1142
391	735	1140
392	737	1138
393	739	1136
394	740	1134
395	741	1131
396	742	1128
397	744	1125
398	745	1122
399	746	1119
400	747	1116
401	749	1114
402	751	1112
403	752	1110
404	753	1107
405	754	1103
406	756	1101
407	757	1098
408	758	1095
409	759	1092
410	760	1089
411	761	1086
412	764	1087
413	766	1085
414	768	1083
415	770	1081
416	771	1078
417	772	1076
418	774	1073
419	775	1070
420	776	1067
421	777	1065
422	779	1062
423	780	1060
424	782	1059
425	783	1055
426	784	1052
427	785	1050
428	787	1047
429	788	1045
430	789	1042
431	790	1039
432	791	1037
433	793	1035
434	795	1033
435	797	1031
436	798	1028
437	800	1026
438	801	1023
439	802	1020
440	802	1017
441	804	1015
442	805	1012
443	806	1009
444	807	1006
445	809	1004
446	810	1002
447	812	1000
448	813	998
449	814	995
450	815	992
451	816	990
452	817	987
453	818	984
454	819	982
455	820	979
456	821	976
457	823	974
458	824	971
459	825	968
460	826	966
461	827	963
462	828	960
463	829	958
464	830	955
465	831	952
466	832	949
467	833	947
468	834	944
469	835	941
470	836	939
471	838	938
472	839	935
473	841	933
474	842	931
475	843	928
476	845	926
477	846	924
478	847	921
479	848	918
480	848	915
481	849	913
482	850	910
483	852	908
484	853	906
485	855	904
486	856	902
487	857	899
488	858	897
489	859	894
490	860	892
491	861	890
492	862	887
493	863	884
494	864	882
495	865	879
496	867	877
497	868	875
498	869	873
499	870	870
500	871	868
501	872	865
502	873	863
503	874	860
504	875	858
505	876	855
506	877	853
507	878	850
508	879	848
509	880	846
510	881	843
511	883	841
512	885	840
513	886	838
514	887	835
515	888	833
516	889	831
517	890	828
518	891	826
519	892	824
520	893	821
521	894	819
522	895	816
523	897	815
524	899	813
525	901	811
526	901	809
527	903	807
528	904	804
529	905	802
530	906	800
531	907	797
532	908	795
533	909	793
534	910	791
535	912	789
536	913	788
537	915	786
538	916	784
539	918	782
540	918	779
541	919	777
542	920	775
543	921	772
544	922	770
545	923	768
546	924	765
547	926	763
548	927	761
549	928	759
550	930	757
551	930	755
552	932	753
553	933	751
554	934	749
555	935	746
556	936	744
557	937	742
558	938	740
559	939	737
560	939	735
561	942	734
562	943	732
563	945	730
564	946	728
565	947	726
566	948	724
567	949	722
568	950	720
569	951	717
570	952	715
571	953	713
572	954	711
573	955	709
574	957	707
575	958	705
576	960	703
577	961	701
578	962	699
579	963	697
580	964	695
581	964	693
582	965	690
583	966	688
584	967	686
585	968	684
586	969	682
587	971	680
588	972	678
589	974	677
590	975	675
591	976	673
592	978	671
593	979	669
594	980	667
595	981	665
596	981	662
597	983	660
598	984	658
599	984	656
600	987	655
601	989	654
602	990	652
603	992	650
604	993	648
605	994	646
606	995	644
607	996	642
608	997	640
609	998	638
610	999	636
611	1002	635
612	1003	633
613	1005	632
614	1007	630
615	1008	628
616	1009	626
617	1010	624
618	1011	622
619	1012	620
620	1013	618
621	1014	616
622	1016	615
623	1018	613
624	1020	612
625	1021	610
626	1023	608
627	1024	606
628	1025	604
629	1026	602
630	1027	600
631	1028	598
632	1028	596
633	1029	594
634	1031	592
635	1032	591
636	1035	589
637	1035	587
638	1037	585
639	1038	583
640	1039	581
641	1040	579
642	1041	578
643	1042	576
644	1043	574
645	1044	572
646	1044	570
647	1046	568
648	1047	566
649	1049	565
650	1050	563
651	1052	561
652	1052	559
653	1053	557
654	1054	555
655	1055	553
656	1056	551
657	1057	549
658	1058	547
659	1059	545
660	1061	544
661	1062	542
662	1065	541
663	1066	539
664	1067	537
665	1068	535
666	1069	533
667	1070	531
668	1071	530
669	1072	528
670	1073	526
671	1074	524
672	1075	522
673	1077	520
674	1078	519
675	1080	517
676	1081	515
677	1082	514
678	1083	512
679	1084	510
680	1085	508
681	1086	506
682	1087	504
683	1088	502
684	1089	500
685	1090	499
686	1091	497
687	1093	496
688	1095	494
689	1096	492
690	1097	490
691	1098	488
692	1099	486
693	1100	485
694	1101	483
695	1102	481
696	1103	479
697	1104	477
698	1106	476
699	1107	474
700	1109	473
701	1110	471
702	1112	469
703	1113	468
704	1114	466
705	1115	464
706	1116	462
707	1117	460
708	1118	459
709	1119	457
710	1121	455
711	1123	454
712	1124	452
713	1126	451
714	1127	449
715	1127	447
716	1128	445
717	1130	443
718	1131	442
719	1132	440
720	1137	440
721	1140	439
722	1141	437
723	1142	435
724	1144	433
725	1144	432
726	1145	430
727	1146	428
728	1148	426
729	1149	425
730	1151	423
731	1153	422
732	1153	420
733	1154	418
734	1157	417
735	1158	415
736	1159	413
737	1160	412
738	1161	410
739	1162	408
740	1163	406
741	1165	405
742	1166	403
743	1168	402
744	1169	400
745	1170	398
746	1171	396
747	1172	395
748	1173	393
749	1174	391
750	1175	389
751	1176	387
752	1177	386
753	1178	384
754	1179	382
755	1181	381
756	1183	379
757	1184	378
758	1185	376
759	1186	374
760	1187	372
761	1188	371
762	1189	369
763	1190	367
764	1192	366
765	1193	364
766	1195	363
767	1196	361
768	1198	360
769	1199	358
770	1201	356
771	1202	355
772	1203	353
773	1204	351
774	1205	349
775	1206	348
776	1207	346
777	1208	344
778	1209	343
779	1211	341
780	1213	340
781	1214	338
782	1215	336
783	1215	335
784	1216	333
785	1217	331
786	1218	329
787	1219	328
788	1220	326
789	1221	324
790	1222	322
791	1223	321
792	1225	319
793	1227	318
794	1228	316
795	1229	315
796	1230	313
797	1231	311
798	1232	310
799	1233	308
800	1234	306
801	1235	304
802	1236	303
803	1237	301
804	1238	300
805	1240	298
806	1242	297
807	1243	295
808	1243	293
809	1245	292
810	1246	290
811	1247	288
812	1248	287
813	1249	285
814	1250	283
815	1251	282
816	1251	280
817	1254	279
818	1256	277
819	1258	276
820	1259	274
821	1260	273
822	1262	271
823	1263	269
824	1264	268
825	1265	266
826	1266	264
827	1267	263
828	1268	261
829	1270	260
830	1272	258
831	1273	257
832	1275	255
833	1276	254
834	1277	252
835	1278	250
836	1279	249
837	1280	247
838	1281	245
839	1282	244
840	1284	242
841	1285	241
842	1287	239
843	1288	238
844	1289	236
845	1290	234
846	1291	233
847	1292	231
848	1293	230
849	1294	228
850	1295	226
851	1296	225
852	1298	223
853	1299	222
854	1301	220
855	1302	219
856	1303	217
857	1304	215
858	1305	214
859	1306	212
860	1307	211
861	1309	209
862	1310	208
863	1311	206
864	1312	204
865	1314	203
866	1316	201
867	1317	200
868	1318	198
869	1319	197
870	1320	195
871	1320	193
872	1321	192
873	1322	190
874	1323	189
875	1324	187
876	1325	185
877	1326	184
878	1327	182
879	1329	181
880	1331	179
881	1332	178
882	1333	176
883	1334	175
884	1335	173
885	1336	171
886	1337	170
887	1338	168
888	1339	167
889	1340	165
890	1341	164
891	1343	162
892	1344	161
893	1345	159
894	1346	158
895	1347	156
896	1348	154
897	1349	153
898	1350	151
899	1351	150
900	1352	148
901	1353	147
902	1354	145
903	1355	143
904	1356	142
905	1358	140
906	1360	139
907	1362	138
908	1363	136
909	1364	134
910	1365	133
911	1366	131
912	1367	130
913	1367	128
914	1368	127
915	1370	125
916	1370	124
917	1372	122
918	1373	121
919	1375	119
920	1376	118
921	1377	116
922	1378	115
923	1379	113
924	1380	111
925	1381	110
926	1382	108
927	1383	107
928	1384	105
929	1385	104
930	1386	102
931	1388	101
932	1389	99
933	1391	98
934	1392	96
935	1393	95
936	1394	93
937	1395	92
938	1396	90
939	1397	89
940	1398	87
941	1399	86
942	1400	84
943	1401	83
944	1403	81
945	1405	80
946	1406	78
947	1407	77
948	1408	75
949	1409	74
950	1410	72
951	1411	71
952	1412	69
953	1413	68
954	1414	66
955	1415	65
956	1418	63
957	1419	62
958	1421	60
959	1422	59
960	1424	57
961	1424	56
962	1426	54
963	1426	53
964	1427	51
965	1428	50
966	1429	48
967	1430	47
968	1432	45
969	1434	44
970	1435	42
971	1437	41
972	1438	39
973	1439	38
974	1439	36
975	1440	35
976	1442	33
977	1443	32
978	1443	30
979	1444	29
980	1445	28
981	1447	26
982	1448	25
983	1450	23
984	1451	22
985	1452	20
986	1453	19
987	1454	17
988	1455	16
989	1456	14
990	1457	13
991	1458	11
992	1459	10
993	1460	8
994	1461	7
995	1463	5
996	1464	4
997	1465	2
998	1466	1
999	1468	0
